Date,Days,Location,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct
12/15/20,3,NC,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,SC,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,IH2,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,MO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,TX,7816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,DD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,US,12638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
